name,size,bucket,contentType,timeCreated,updated,storageClass,DownloadTime,BucketDeleted
QueriesIndex-2020-06-11_17-04-04.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-11T23:04:04Z,2020-06-11T23:04:04Z,STANDARD,2020-06-15 11:27:08,TRUE
QueriesIndex-2020-06-11_18-03-57.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-12T00:03:58Z,2020-06-12T00:03:58Z,STANDARD,2020-06-15 11:27:12,TRUE
QueriesIndex-2020-06-11_19-04-11.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-12T01:04:12Z,2020-06-12T01:04:12Z,STANDARD,2020-06-15 11:27:14,TRUE
QueriesIndex-2020-06-11_20-03-56.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-12T02:03:57Z,2020-06-12T02:03:57Z,STANDARD,2020-06-15 11:27:16,TRUE
QueriesIndex-2020-06-12_08-04-04.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-12T14:04:04Z,2020-06-12T14:04:04Z,STANDARD,2020-06-15 11:27:20,TRUE
QueriesIndex-2020-06-12_09-03-50.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-12T15:03:50Z,2020-06-12T15:03:50Z,STANDARD,2020-06-15 11:27:22,TRUE
QueriesIndex-2020-06-12_10-04-04.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-12T16:04:05Z,2020-06-12T16:04:05Z,STANDARD,2020-06-15 11:27:25,TRUE
QueriesIndex-2020-06-12_12-03-42.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-12T18:03:42Z,2020-06-12T18:03:42Z,STANDARD,2020-06-15 11:27:29,TRUE
QueriesIndex-2020-06-12_15-04-06.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-12T21:04:06Z,2020-06-12T21:04:06Z,STANDARD,2020-06-15 11:27:31,TRUE
QueriesIndex-2020-06-12_16-03-56.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-12T22:03:56Z,2020-06-12T22:03:56Z,STANDARD,2020-06-15 11:27:34,TRUE
QueriesIndex-2020-06-12_17-03-44.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-12T23:03:44Z,2020-06-12T23:03:44Z,STANDARD,2020-06-15 11:27:37,TRUE
