QueryKey;geocoder_status;place_id;types
3549904 SÃO JOSÉ DOS CAMPOS 2020-06-12 12:01:50 EW;OK;ChIJdy163DtKzJQRxqAm8kLGeTQ;street_address
3549904 SÃO JOSÉ DOS CAMPOS 2020-06-12 12:01:50 EW;OK;ChIJVXwi9KU2zJQRzjuGRCbffe4;route
3549904 SÃO JOSÉ DOS CAMPOS 2020-06-12 12:01:53 NS;OK;Ek1Sb2QuIE1vbnRlaXJvIExvYmF0bywgMjAzIC0gVmlsYSBDw6JuZGlkYSwgU8OjbyBKb3PDqSBkb3MgQ2FtcG9zIC0gU1AsIEJyYXppbCIbEhkKFAoSCXXTIQ4qNsyUEc2ZAVogNREOEMsB;street_address
3549904 SÃO JOSÉ DOS CAMPOS 2020-06-12 12:01:53 NS;OK;ChIJdy163DtKzJQRxqAm8kLGeTQ;street_address
3549904 SÃO JOSÉ DOS CAMPOS 2020-06-12 12:01:53 NS;OK;ChIJqc5LJ3i1zZQRjSJCyt0a4wk;street_address
2607901 JABOATÃO DOS GUARARAPES 2020-06-12 12:01:55 EW;OK;ChIJzwXa-7bhqgcRrwCr5JD5Css;street_address
2607901 JABOATÃO DOS GUARARAPES 2020-06-12 12:01:55 EW;OK;ChIJYeRZWMfhqgcRC2ekNkdxgxA;street_address
2607901 JABOATÃO DOS GUARARAPES 2020-06-12 12:01:55 EW;OK;ChIJpdBC7DYdqwcRfwXOfxVQkrE;"c(""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station"")"
2607901 JABOATÃO DOS GUARARAPES 2020-06-12 12:01:58 NS;OK;ChIJAfXilygeqwcRKJBikjuOEjQ;premise
2607901 JABOATÃO DOS GUARARAPES 2020-06-12 12:01:58 NS;OK;ChIJYeRZWMfhqgcRC2ekNkdxgxA;street_address
2607901 JABOATÃO DOS GUARARAPES 2020-06-12 12:01:58 NS;OK;ChIJdxwGHprmqgcRg1Qs0dfLUU0;street_address
